id,site,ip
1,A2002_AN_COYLLUR_COILLOR,10.103.1.8
2,A2003_AN_MACASHCA,10.103.1.24
3,A2004_AN_COCHABAMBA,10.103.1.40
4,A2005_AN_CUNCO,10.103.1.56
5,A2007_AN_CHIPRE,10.103.1.72
6,A2008_AN_COLCABAMBA,10.103.1.88
7,A2009_AN_HUANCHAY,10.103.1.104
8,A2010_AN_COLCAP,10.103.1.120
9,A2013_AN_CHAVIN,10.103.1.136
10,A2016_AN_PARIA_WILCAHUAIN_PARIA,10.103.1.152
11,A2017_AN_SHECTA,10.103.1.168
12,A2020_AN_QUENUAYOC,10.103.1.184
13,A2022_AN_HUAUYAHUILLCA,10.103.1.200
14,A2025_AN_MATAQUITA,10.103.1.216
15,A2027_AN_CAJAMARQUILLA,10.103.1.232
16,A2029_AN_OLLEROS,10.103.1.248
17,A2030_AN_LLOCLLA,10.103.2.8
18,A2032_AN_SHANCAC,10.103.2.24
19,A2033_AN_PARIACOTO,10.103.2.40
20,A2037_AN_FORTALEZA,10.103.2.56
21,A2039_AN_NUEVA_ESPERANZA,10.103.2.72
22,A2040_AN_PIRA,10.103.2.88
23,A2043_AN_JIRAC,10.103.2.104
24,A2044_AN_YUPASH,10.103.2.120
25,A2045_AN_TARICA,10.103.2.136
26,A2053_AN_LA MERCED,10.103.2.216
27,A2154_AN_CHINCHO,10.103.2.152
28,A2050_AN_CORIS,10.103.2.168
29,A2051_AN_SAN_DAMIAN,10.103.2.184
30,A2052_AN_HUACLLAN,10.103.2.200
31,A2053_AN_LA_MERCED,10.103.2.216
32,A2054_AN_SANTA_CRUZ_DE_RUREK,10.103.2.232
33,A2055_AN_SUCCHA,10.103.2.248
34,A2057_AN_COTO,10.103.3.8
35,A2060_AN_SAN_PEDRO_DE_UCHUPATA,10.103.3.24
36,A2061_AN_CHACCHO,10.103.3.40
37,A2062_AN_CHINGAS,10.103.3.56
38,A2064_AN_VILCABAMBA,10.103.3.72
39,A2065_AN_MIRGAS,10.103.3.88
40,A2066_AN_VISTA_ALEGRE_DE_ILLAURO,10.103.3.104
41,A2068_AN_CASHASH_SANTA_CRUZ_DE_CASHASH,10.103.3.120
42,A2069_AN_SAN_ANTONIO_DE_ACO,10.103.3.136
43,A2070_AN_SAN_MARTIN_DE_PUNCA,10.103.3.152
44,A2071_AN_SAN_JUAN_DE_RONTOY,10.103.3.168
45,A2072_AN_CANTU_FLOR_DE_CANTU,10.103.3.184
46,A2073_AN_CHACAS,10.103.3.200
47,A2076_AN_ACOCHACA,10.103.3.216
48,A2077_AN_WECRONCOCHA,10.103.3.232
49,A2078_AN_SAPCHA,10.103.3.248
50,A2079_AN_CHINLLA,10.103.4.8
51,A2082_AN_LLACLLA,10.103.4.24
52,A2084_AN_YAMOR_YAMOR_PUEBLO_NUEVO,10.103.4.40
53,A2085_AN_AQUIA,10.103.4.56
54,A2086_AN_CAJACAY,10.103.4.72
55,A2088_AN_SANTA_ROSA,10.103.4.88
56,A2089_AN_CANIS,10.103.4.104
57,A2090_AN_CHASQUITAMBO,10.103.4.120
58,A2091_AN_HUALLANCA,10.103.4.136
59,A2092_AN_HUASTA,10.103.4.152
60,A2094_AN_HUAYLLACAYAN,10.103.4.168
61,A2095_AN_GORGORILLO,10.103.4.184
62,A2096_AN_MANGAS,10.103.4.200
63,A2097_AN_PACLLON,10.103.4.216
64,A2098_AN_CORPANQUI,10.103.4.232
65,A2099_AN_TICLLOS,10.103.4.248
66,A2100_AN_ROCA,10.103.5.8
67,A2103_AN_HUALCAN,10.103.5.24
68,A2107_AN_MAYA,10.103.5.40
69,A2108_AN_RAMPAC_GRANDE,10.103.5.56
70,A2109_AN_TAURIPAMPA,10.103.5.72
71,A2110_AN_PUNYA,10.103.5.88
72,A2112_AN_NUNOCOTO,10.103.5.104
73,A2114_AN_ANTA,10.103.5.120
74,A2117_AN_ATAQUERO,10.103.5.136
75,A2119_AN_COPA_GRANDE,10.103.5.152
76,A2120_AN_PURHUAY,10.103.5.168
77,A2122_AN_CULLHUASH,10.103.5.184
78,A2128_AN_PAMPAMACA,10.103.5.200
79,A2129_AN_HONCOPAMPA,10.103.5.216
80,A2130_AN_SHILLA,10.103.5.232
81,A2132_AN_YUNGAR,10.103.5.248
82,A2135_AN_POYOR,10.103.6.8
83,A2141_AN_HUMANHUAUCO,10.103.6.24
84,A2142_AN_POMALLUCAY,10.103.6.40
85,A2144_AN_CANCHABAMBA,10.103.6.56
