id,site,position,ip
1,T2004_AN_COCHABAMBA,prin,10.101.1.50
2,T2008_AN_COLCABAMBA,prin,10.101.1.66
3,T2009_AN_HUANCHAY (HUARAZ),prin,10.101.1.82
4,T2012_AN_CENTENARIO,prin,10.101.1.98
5,T2023_AN_JANGAS,prin,10.101.1.114
6,T2027_AN_CAJAMARQUILLA (HUARAZ),prin,10.101.1.130
7,T2029_AN_OLLEROS,prin,10.101.1.146
8,T2031_AN_PAMPAS GRANDE,prin,10.101.1.162
9,T2033_AN_PARIACOTO,prin,10.101.1.178
10,T2040_AN_PIRA,prin,10.101.1.194
11,T2045_AN_TARICA,prin,10.101.1.210
12,T2049_AN_AIJA,prin,10.101.11.98
13,T2050_AN_CORIS,prin,10.101.1.226
14,T2052_AN_HUACLLAN,prin,10.101.1.242
15,T2053_AN_LA MERCED,prin,10.101.2.2
16,T2055_AN_SUCCHA,prin,10.101.2.18
17,T2056_AN_LLAMELLIN,prin,10.101.11.114
18,T2058_AN_ACZO,prin,10.101.2.34
19,T2061_AN_CHACCHO,prin,10.101.2.50
20,T2062_AN_CHINGAS,prin,10.101.2.66
21,T2065_AN_MIRGAS,prin,10.101.2.82
22,T2071_AN_SAN JUAN DE RONTOY,prin,10.101.2.98
23,T2073_AN_CHACAS,prin,10.101.11.130
24,T2076_AN_ACOCHACA,prin,10.101.2.114
25,T2080_AN_CHIQUIAN,prin,10.101.11.146
26,T2082_AN_LLACLLA,prin,10.101.2.130
27,T2083_AN_RAQUIA,prin,10.101.2.146
28,T2085_AN_AQUIA,prin,10.101.2.162
29,T2086_AN_CAJACAY,prin,10.101.2.178
30,T2089_AN_CANIS,prin,10.101.2.194
31,T2090_AN_CHASQUITAMBO,prin,10.101.2.210
32,T2091_AN_HUALLANCA (CHIQUIAN),prin,10.101.2.226
33,T2092_AN_HUASTA,prin,10.101.2.242
34,T2094_AN_HUAYLLACAYAN,prin,10.101.3.2
35,T2095_AN_GORGORILLO,prin,10.101.3.18
36,T2096_AN_MANGAS,prin,10.101.3.34
37,T2097_AN_PACLLON,prin,10.101.3.50
38,T2098_AN_CORPANQUI,prin,10.101.3.66
39,T2099_AN_TICLLOS,prin,10.101.3.82
40,T2101_AN_CARHUAZ,prin,10.101.11.162
41,T2111_AN_ACOPAMPA,prin,10.101.3.98
42,T2113_AN_AMASHCA,prin,10.101.3.114
43,T2118_AN_MARCARA,prin,10.101.3.146
44,T2125_AN_PARIAHUANCA,prin,10.101.3.162
45,T2126_AN_ACO (SAN MIGUEL DE ACO),prin,10.101.3.178
46,T2130_AN_SHILLA,prin,10.101.3.194
47,T2131_AN_TINCO,prin,10.101.3.210
48,T2132_AN_YUNGAR,prin,10.101.3.226
49,T2136_AN_SAN LUIS,prin,10.101.11.178
50,T2147_AN_HUAMBACHO,prin,10.101.3.130
51,T2149_AN_SAN NICOLAS,prin,10.101.3.242
52,T2153_AN_YAUYA,prin,10.101.4.2
53,T2161_AN_CASMA,prin,10.101.10.130
54,T2163_AN_BUENA VISTA ALTA,prin,10.101.4.18
55,T2167_AN_PUERTO CASMA,prin,10.101.4.34
56,T2170_AN_YAUTAN,prin,10.101.4.50
57,T2175_AN_CORONGO,prin,10.101.10.146
58,T2176_AN_ACO (ACO),prin,10.101.4.66
59,T2177_AN_BAMBAS,prin,10.101.4.82
60,T2178_AN_CUSCA,prin,10.101.4.98
61,T2182_AN_LA PAMPA,prin,10.101.4.114
62,T2184_AN_YANAC,prin,10.101.4.130
63,T2186_AN_YUPAN,prin,10.101.4.146
64,T2187_AN_HUARI,prin,10.101.10.162
65,T2195_AN_ANRA,prin,10.101.4.162
66,T2197_AN_CAJAY,prin,10.101.4.178
67,T2200_AN_CHAVIN DE HUANTAR,prin,10.101.4.194
68,T2213_AN_HUACACHI,prin,10.101.4.210
69,T2218_AN_HUACCHIS,prin,10.101.4.226
70,T2221_AN_HUACHIS,prin,10.101.4.242
71,T2224_AN_HUANTAR,prin,10.101.5.2
72,T2227_AN_MASIN,prin,10.101.5.18
73,T2230_AN_PAUCAS,prin,10.101.5.34
74,T2232_AN_PONTO,prin,10.101.5.50
75,T2238_AN_RAHUAPAMPA,prin,10.101.5.66
76,T2239_AN_RAPAYAN,prin,10.101.5.82
77,T2242_AN_SAN MARCOS,prin,10.101.5.98
78,T2253_AN_CHANA,prin,10.101.5.114
79,T2255_AN_UCO,prin,10.101.5.130
80,T2258_AN_HUARMEY,prin,10.101.10.178
81,T2262_AN_COCHAPETI,prin,10.101.5.146
82,T2263_AN_LA CALETA CULEBRAS,prin,10.101.5.162
83,T2266_AN_HUAYAN,prin,10.101.5.178
84,T2268_AN_MALVAS,prin,10.101.5.194
85,T2269_AN_CARAZ,prin,10.101.10.194
86,T2280_AN_HUALLANCA (CARAZ),prin,10.101.5.210
87,T2282_AN_HUATA,prin,10.101.5.226
88,T2284_AN_HUAYLAS,prin,10.101.5.242
89,T2286_AN_SUCRE,prin,10.101.6.2
90,T2287_AN_PAMPAROMAS,prin,10.101.6.18
91,T2297_AN_SAN JUAN,prin,10.101.6.34
92,T2305_AN_HUARIPAMPA,prin,10.101.6.50
93,T2313_AN_SANTO TORIBIO,prin,10.101.6.66
94,T2315_AN_YURACMARCA,prin,10.101.6.82
95,T2317_AN_PISCOBAMBA,prin,10.101.10.210
96,T2319_AN_CASCA,prin,10.101.6.98
97,T2324_AN_PAMPACHACRA,prin,10.101.6.114
98,T2326_AN_SANACHGAN,prin,10.101.6.130
99,T2328_AN_LLAMA,prin,10.101.6.146
100,T2329_AN_LLUMPA,prin,10.101.6.162
101,T2339_AN_LUCMA,prin,10.101.6.178
102,T2344_AN_MUSGA,prin,10.101.6.194
103,T2346_AN_OCROS,prin,10.101.10.226
104,T2347_AN_ACAS,prin,10.101.6.210
105,T2348_AN_CAJAMARQUILLA (OCROS),prin,10.101.6.226
106,T2349_AN_ACO (CARHUANPA),prin,10.101.6.242
107,T2350_AN_HUANCHAY (OCROS),prin,10.101.7.2
108,T2351_AN_CONGAS,prin,10.101.7.18
109,T2352_AN_LLIPA,prin,10.101.7.34
110,T2353_AN_RAJAN,prin,10.101.7.50
111,T2354_AN_COPA,prin,10.101.7.66
112,T2355_AN_SANTIAGO DE CHILCAS,prin,10.101.7.82
113,T2356_AN_CABANA,prin,10.101.10.242
114,T2359_AN_BOLOGNESI,prin,10.101.7.98
115,T2361_AN_CONCHUCOS,prin,10.101.7.114
116,T2363_AN_HUACASCHUQUE,prin,10.101.7.130
117,T2364_AN_HUANDOVAL,prin,10.101.7.146
118,T2365_AN_LACABAMBA,prin,10.101.7.162
119,T2366_AN_LLAPO,prin,10.101.7.178
120,T2367_AN_PALLASCA,prin,10.101.7.194
121,T2369_AN_PAMPAS,prin,10.101.7.210
122,T2373_AN_SANTA ROSA,prin,10.101.7.226
123,T2375_AN_TAUCA,prin,10.101.7.242
124,T2380_AN_POMABAMBA,prin,10.101.11.66
125,T2385_AN_HUAYLLAN,prin,10.101.8.2
126,T2389_AN_PAROBAMBA,prin,10.101.8.18
127,T2397_AN_QUINUABAMBA,prin,10.101.8.34
128,T2400_AN_RECUAY,prin,10.101.11.82
129,T2402_AN_CATAC,prin,10.101.8.50
130,T2403_AN_COTAPARACO,prin,10.101.8.66
131,T2404_AN_HUAYLLAPAMPA,prin,10.101.8.82
132,T2405_AN_LLACLLIN,prin,10.101.8.98
133,T2406_AN_MARCA,prin,10.101.8.114
